VISADA     DIST.OBS     PRECIS.     DIST.ELIPS.     PESO      RUMO
 4  28    12118.2986     .0131      12118.2799     5725.8    29.8477
 5   6     9259.5059     .0105       9259.4916     8885.8   288.2159
 5   7    11993.1027     .0130      11993.1011     5828.2   308.4199
 5   8    14171.3894     .0150      14171.3542     4357.3    88.5878
 5   9    15991.2334     .0168      15991.1881     3505.3   277.1867
 5  10    16536.0939     .0173      16536.0489     3297.1    68.1248
 5  11    12293.1908     .0133      12293.1668     5587.0    66.4246
 5  12    17470.9491     .0182      17470.9091     2979.7    48.8700
 5  13    11295.1708     .0124      11295.1564     6449.0    37.6103
 5  14    12110.7552     .0131      12110.7523     5731.9   337.7643
 5  15    11300.8082     .0124      11300.8024     6443.6   359.4006
 5  16    11664.0134     .0127      11664.0040     6109.9    15.1222
 5  17    15151.4047     .0160      15151.4022     3865.4   304.3615
 5  18    16484.9549     .0172      16484.9508     3315.9   293.7070
 5  19    18480.5846     .0191      18480.5802     2684.6   306.2551
 5  20    19127.4455     .0198      19127.4367     2517.5   281.5873
 5  21    21443.6323     .0220      21443.6253     2029.6   309.0328
 5  22     5687.7998     .0076       5687.7983    17157.5   316.3448
 5  23    11962.5968     .0130      11962.5951     5853.5   293.1585
 5  24     9599.9536     .0108       9599.9523     8398.8   288.9610
 5  25     6286.6993     .0080       6286.6961    15250.5   358.8625
 5  26    12995.2157     .0139      12995.2136     5075.4   327.3949
 5  27    15905.8079     .0167      15905.8058     3539.6   321.9665
 5  28    13424.4428     .0143      13424.4246     4794.9    34.0928
 6   7    20928.6063     .0215      20928.5892     2125.2   299.6306
 6   8     6275.0311     .0080       6275.0058    15285.2    58.8735
 6   9     7126.4296     .0087       7126.3981    12983.9    82.7938
 6  10    11176.1741     .0122      11176.1260     6564.1    35.8785
 6  11     8192.9438     .0096       8192.9161    10681.2    17.5585
 6  12    15033.6860     .0158      15033.6290     3920.1    16.8747
 6  13    11994.0967     .0130      11994.0661     5827.4   350.8749
 6  14    19440.2330     .0201      19440.2116     2442.2   316.5137
 6  15    16761.3586     .0175      16761.3328     3216.3   327.8728
 6  16    15278.8953     .0161      15278.8656     3807.4   337.8826
 6  17    24183.1246     .0247      24183.1068     1613.6   298.2494
 6  18    25717.2828     .0262      25717.2641     1433.6   291.7325
 6  19    27435.1709     .0279      27435.1510     1265.3   300.2559
 6  20    28345.2108     .0288      28345.1879     1187.8   283.7483
 6  21    30278.0092     .0307      30277.9865     1044.9   302.7935
 6  22    14525.2108     .0154      14525.1940     4169.8   298.8545
 6  23    21202.6886     .0218      21202.6724     2073.5   291.0022
 6  24    18859.0918     .0195      18859.0762     2585.0   288.5951
 6  25    12800.1332     .0137      12800.1135     5210.7   315.8220
 6  26    21004.0021     .0216      21003.9824     2110.8   311.2241
 6  27    24158.7722     .0247      24158.7528     1616.7   309.6718
 6  28    14069.1984     .0149      14069.1610     4413.7   354.8185
 7   8    24610.8160     .0251      24610.7779     1560.2   286.7761
 7   9    26972.7443     .0274      26972.6950     1307.6   290.5164
 7  10    24775.5310     .0253      24775.4879     1540.3   272.9883
 7  11    20818.4901     .0214      20818.4667     2146.6   276.9969
 7  12    22914.5861     .0235      22914.5542     1788.8    79.8475
 7  13    16358.1104     .0171      16358.1003     3363.1    84.7561
 7  14     6106.2694     .0079       6106.2692    15797.9    52.0240
 7  15    10044.1974     .0112      10044.1961     7816.6    67.4771
 7  16    13008.8003     .0139      13008.7965     5066.2    72.9818
 7  17     3299.4361     .0060       3299.4353    27420.0   289.4545
 7  18     5756.9261     .0076       5756.9236    16924.0    81.7627
 7  19     6511.8491     .0082       6511.8464    14598.5   302.2658
 7  20    10014.8716     .0112      10014.8637     7853.3    68.8664
 7  21     9452.0628     .0107       9452.0574     8605.8   309.8105
 7  22     6407.7874     .0081       6407.7872    14895.6   301.3902
 7  23     3181.1484     .0059       3181.1478    28018.4    30.2451
 7  24     4345.0813     .0066       4345.0809    22424.9   355.8129
 7  25     9344.7060     .0106       9344.7048     8760.4   277.1758
 7  26     4235.8340     .0066       4235.8338    22914.5    34.4130
 7  27     5091.5016     .0071       5091.5011    19323.1   355.4534
 7  28    17313.4256     .0180      17313.4139     3030.0    77.7806
 8   9     2899.4213     .0058       2899.4047    29455.2   324.1391
 8  10     5930.1485     .0078       5930.1154    16354.6    11.4617
 8  11     5410.3381     .0074       5410.3134    18131.0   327.5879
 8  12    11188.0551     .0123      11187.9990     6552.4   354.8327
 8  13    11262.4409     .0123      11262.3999     6480.4   319.7712
 8  14    21668.4135     .0222      21668.3715     1989.8   300.0814
 8  15    17999.8195     .0187      17999.7750     2819.5   307.4734
 8  16    15581.8621     .0164      15581.8162     3674.5   314.4452
 8  17    27907.0786     .0284      27907.0396     1224.2   287.0927
 8  18    29926.9666     .0303      29926.9267     1068.8   282.1106
 8  19    30935.0617     .0313      30935.0205     1002.1   289.9988
 8  20    33089.4928     .0335      33089.4487      878.6   276.0590
 8  21    33514.0039     .0339      33513.9598      857.0   293.1119
 8  22    18481.2117     .0191      18481.1746     2684.4   281.7575
 8  23    25539.8283     .0260      25539.7910     1452.9   279.8188
 8  24    23410.5933     .0239      23410.5566     1717.1   276.7953
 8  25    15475.6613     .0163      15475.6231     3720.3   292.5558
 8  26    23674.1264     .0242      23674.0858     1680.7   296.5937
 8  27    26883.8757     .0273      26883.8348     1316.0   296.9377
 8  28    12651.7909     .0136      12651.7433     5317.0   328.3317
 9  10     8178.2209     .0096       8178.1716    10709.2   356.3535
 9  11     8306.3305     .0097       8306.2890    10468.6   326.3847
 9  12    13761.1348     .0146      13761.0597     4590.2   348.6586
 9  13    14155.1857     .0150      14155.1287     4366.2   320.6650
 9  14    24344.7274     .0249      24344.6726     1593.1   302.8643
 9  15    20794.0898     .0214      20794.0313     2151.3   309.7651
 9  16    18446.3850     .0191      18446.3239     2693.9   315.9619
 9  17    30271.6775     .0307      30271.6274     1045.3   290.4007
 9  18    32139.3011     .0325      32139.2506      930.1   285.5733
 9  19    33374.4779     .0337      33374.4253      864.0   292.7935
 9  20    35092.9673     .0354      35092.9130      783.1   279.5836
 9  21    36029.5382     .0364      36029.4825      743.7   295.4892
 9  22    20715.3440     .0213      20715.2959     2166.8   287.1711
 9  23    27688.4034     .0281      27688.3556     1243.0   284.0144
 9  24    25464.6655     .0260      25464.6184     1461.1   281.5987
 9  25    18009.7650     .0187      18009.7143     2816.6   297.3926
 9  26    26279.0978     .0268      26279.0449     1375.1   299.5184
 9  27    29492.4694     .0299      29492.4163     1099.7   299.5134
 9  28    15544.9078     .0163      15544.8432     3690.3   327.5503
10  11     4263.9913     .0066       4263.9706    22787.5    73.0318
10  12     5761.5407     .0076       5761.5100    16908.6   337.7023
10  13     8899.6972     .0102       8899.6624     9443.0   288.2474
10  14    20558.0416     .0212      20557.9974     2198.2   284.2171
10  15    16295.2666     .0170      16295.2225     3386.8   288.3832
10  16    13317.3873     .0142      13317.3447     4862.8   292.5121
10  17    27955.2205     .0284      27955.1765     1220.1   274.9055
10  18    30442.8972     .0309      30442.8517     1033.9   270.8786
10  19    30621.5637     .0310      30621.5178     1022.1   278.9577
10  20    34161.8588     .0345      34161.8083      825.5    86.1073
10  21    32834.2265     .0332      32834.1781      892.0   282.9234
10  22    19380.1539     .0200      19380.1108     2456.4    83.9400
10  23    26384.3248     .0269      26384.2814     1364.5    86.8354
10  24    24613.2491     .0251      24613.2058     1559.9    82.9008
10  25    15470.7635     .0163      15470.7216     3722.4   270.4604
10  26    22854.6616     .0234      22854.6177     1797.8   282.0880
10  27    25939.0043     .0264      25938.9599     1410.1   284.2093
10  28     9258.7722     .0105       9258.7348     8886.9   302.3633
11  12     6841.9964     .0085       6841.9668    13702.2    16.0558
11  13     5948.0790     .0078       5948.0610    16296.9   312.6649
11  14    17053.7326     .0178      17053.7077     3115.6   291.6560
11  15    13052.7685     .0140      13052.7432     5036.5   299.2782
11  16    10386.3488     .0115      10386.3241     7405.4   307.6430
11  17    24050.7544     .0246      24050.7302     1630.7   278.6927
11  18    26416.4572     .0269      26416.4314     1361.3   273.7141
11  19    26851.5213     .0273      26851.4951     1319.0   282.9389
11  20    30023.9492     .0304      30023.9186     1062.1    87.9485
11  21    29214.8452     .0296      29214.8165     1120.1   287.0946
11  22    15214.6255     .0160      15214.6024     3836.5    86.9800
11  23    22266.8023     .0228      22266.7788     1889.4    89.4542
11  24    20425.3915     .0210      20425.3682     2225.2    84.9513
11  25    11473.8312     .0125      11473.8090     6281.5   276.8512
11  26    19239.0866     .0199      19239.0623     2490.2   288.2673
11  27    22399.8917     .0230      22399.8670     1868.0   289.8648
11  28     7242.2447     .0088       7242.2220    12704.9   328.8873
12  13     6762.8698     .0084       6762.8468    13910.8    67.9029
12  14    17744.6024     .0184      17744.5711     2895.2    89.0903
12  15    13279.0392     .0142      13279.0090     4887.4    89.1731
12  16    10119.2087     .0113      10119.1810     7723.8    88.6877
12  17    25834.6988     .0263      25834.6665     1421.1    83.4651
12  18    28668.8854     .0291      28668.8510     1161.9    80.2320
12  19    28067.6934     .0285      28067.6597     1210.6    88.8511
12  20    32801.5274     .0332      32801.4876      893.8    76.5134
12  21    29884.3976     .0303      29884.3620     1071.8   273.8616
12  22    18610.2348     .0193      18610.2008     2649.9    66.6481
12  23    25093.3906     .0256      25093.3577     1503.0    74.3072
12  24    23762.4178     .0243      23762.3843     1668.8    69.3691
12  25    14268.0385     .0151      14268.0060     4304.9    68.5987
12  26    20169.2207     .0208      20169.1894     2278.8    88.4527
12  27    22982.7396     .0235      22982.7081     1778.7   272.5846
12  28     5647.0013     .0075       5646.9813    17296.9    86.1961
13  14    11697.0977     .0127      11697.0876     6080.8   281.1518
13  15     7395.6534     .0089       7395.6440    12347.0   288.5468
13  16     4491.3877     .0067       4491.3803    21783.2   300.9859
13  17    19404.7293     .0200      19404.7186     2450.5    88.8302
13  18    22109.2007     .0227      22109.1881     1915.1    83.9770
13  19    21885.7293     .0224      21885.7169     1952.4   275.1940
13  20    26134.5222     .0266      26134.5045     1389.8    78.7338
13  21    23987.1614     .0245      23987.1470     1639.0   280.9505
13  22    11849.9242     .0129      11849.9134     5948.5    65.9319
13  23    18388.2334     .0191      18388.2228     2709.8    76.6584
13  24    17002.6023     .0177      17002.5916     3132.9    69.9522
13  25     7506.1344     .0090       7506.1249    12097.1    69.2256
13  26    14038.8139     .0149      14038.8039     4430.7   278.1880
13  27    17072.8548     .0178      17072.8445     3109.2   282.1056
13  28     2259.4661     .0055       2259.4609    32685.4    16.2313
14  15     4465.6105     .0067       4465.6094    21895.1    88.8442
14  16     7625.9674     .0091       7625.9639    11833.3    89.6246
14  17     8358.4980     .0097       8358.4971    10372.7    71.4545
14  18    11466.2868     .0125      11466.2840     6288.5    66.4454
14  19    10323.4937     .0115      10323.4912     7478.6    88.4400
14  20    15957.5857     .0167      15957.5772     3518.8    62.5009
14  21    12290.2117     .0133      12290.2073     5589.3   280.7590
14  22     7125.2798     .0087       7125.2793    12986.7   354.7131
14  23     9136.9310     .0104       9136.9305     9070.5    44.6019
14  24     9256.2063     .0105       9256.2061     8890.7    29.0612
14  25     6642.8292     .0083       6642.8276    14234.6   317.8466
14  26     2433.7319     .0056       2433.7319    31820.9    83.7988
14  27     5380.9383     .0073       5380.9381    18237.6   284.1794
14  28    12108.1173     .0131      12108.1059     5734.0   270.4397
15  16     3161.3654     .0059       3161.3629    28118.9   270.7269
15  17    12690.3472     .0136      12690.3452     5289.0    77.4914
15  18    15687.5203     .0165      15687.5165     3629.7    72.6725
15  19    14789.0351     .0156      14789.0316     4037.5    88.5620
15  20    20057.5712     .0207      20057.5620     2302.8    68.1707
15  21    16685.0928     .0174      16685.0874     3243.3   277.5914
15  22     8131.8535     .0095       8131.8513    10798.1    27.9241
15  23    12723.3986     .0137      12723.3969     5265.3    58.7762
15  24    12133.6141     .0131      12133.6126     5713.5    47.6050
15  25     5014.7536     .0071       5014.7510    19622.0      .0751
15  26     6893.2369     .0085       6893.2358    13569.3    87.0649
15  27     9759.2695     .0110       9759.2683     8183.4   277.2288
15  28     7645.2976     .0091       7645.2873    11791.4   271.3715
16  17    15784.3946     .0166      15784.3900     3589.3    80.1197
16  18    18718.8950     .0194      18718.8886     2621.2    75.6728
16  19    17948.5357     .0186      17948.5297     2834.5    88.9433
16  20    23009.0935     .0235      23009.0818     1774.8    71.1918
16  21    19827.3882     .0204      19827.3803     2353.4   276.4995
16  22     9981.0300     .0112       9981.0250     7896.0    44.2869
16  23    15496.4032     .0163      15496.3988     3711.3    64.9738
16  24    14601.8817     .0154      14601.8773     4130.7    56.1155
16  25     5897.5652     .0077       5897.5605    16460.0    32.4876
16  26    10050.1797     .0112      10050.1761     7809.2    88.2161
16  27    12905.2613     .0138      12905.2575     5137.2   275.6393
16  28     4484.2797     .0067       4484.2719    21814.0   271.8259
17  18     3223.4238     .0059       3223.4217    27804.1    53.3596
17  19     3374.8122     .0060       3374.8101    27040.9   314.7862
17  20     7810.0224     .0093       7810.0141    11442.3    52.9128
17  21     6461.4496     .0082       6461.4443    14741.5   320.0420
17  22     9660.0047     .0109       9660.0036     8316.7   297.3396
17  23     4132.3182     .0065       4132.3168    23386.3   338.5861
17  24     6423.7032     .0081       6423.7017    14849.7   327.7445
17  25    12588.2293     .0135      12588.2274     5363.5   280.3712
17  26     6003.6086     .0078       6003.6077    16119.7    66.4828
17  27     4810.7691     .0069       4810.7678    20438.9    34.2489
17  28    20195.9127     .0208      20195.9003     2273.2    82.7018
18  19     4305.3933     .0066       4305.3895    22601.8     2.5458
18  20     4586.7819     .0068       4586.7757    21373.4    52.5988
18  21     7051.9659     .0086       7051.9583    13167.4   347.1926
18  22    11446.6672     .0125      11446.6645     6306.6   282.6808
18  23     4524.3457     .0067       4524.3432    21640.8   295.1573
18  24     6963.3539     .0086       6963.3510    13389.9   300.2568
18  25    14972.9791     .0158      14972.9755     3948.8   271.3106
18  26     9172.1126     .0104       9172.1097     9017.0    61.9061
18  27     7927.1249     .0094       7927.1213    11202.3    41.8994
18  28    23059.9118     .0236      23059.8976     1767.4    78.7740
19  20     8058.2057     .0095       8058.1951    10941.3    28.4187
19  21     3116.1926     .0059       3116.1893    28348.6   325.7353
19  22    12919.2445     .0139      12919.2415     5127.5   301.8315
19  23     7347.4425     .0089       7347.4386    12458.1   327.9043
19  24     9742.0279     .0110       9742.0240     8206.4   323.2892
19  25    15490.2140     .0163      15490.2103     3714.0   287.4443
19  26     7900.2099     .0093       7900.2075    11256.9    89.8683
19  27     5347.4070     .0073       5347.4047    18360.0    72.5993
19  28    22428.2599     .0230      22428.2461     1863.5    89.5194
20  21     9883.9221     .0111       9883.9069     8020.1    12.1513
20  22    14813.7267     .0156      14813.7191     4025.4    88.9432
20  23     7786.8506     .0093       7786.8435    11490.6    83.6395
20  24     9685.5196     .0109       9685.5122     8282.2   274.2792
20  25    18772.5049     .0194      18772.4963     2607.3    82.5209
20  26    13718.5637     .0146      13718.5549     4615.4    58.8064
20  27    12463.2897     .0134      12463.2795     5456.6    45.8172
20  28    27251.5222     .0277      27251.5026     1281.8    74.5161
21  22    15818.6431     .0166      15818.6378     3575.2   306.4099
21  23    10462.0631     .0116      10462.0559     7318.4   327.2584
21  24    12856.0642     .0138      12856.0571     5171.4   323.8820
21  25    18039.6587     .0187      18039.6529     2808.0   293.5890
21  26     9987.5808     .0112       9987.5764     7887.7   284.8352
21  27     6926.3016     .0085       6926.2974    13484.3   278.1024
21  28    24299.4481     .0248      24299.4324     1598.8   275.6379
22  23     7096.7912     .0087       7096.7908    13056.5   274.7644
22  24     5248.0507     .0072       5248.0505    18727.9    79.0608
22  25     4377.4576     .0066       4377.4565    22281.5    60.2783
22  26     7492.6096     .0090       7492.6094    12127.3   335.7610
22  27    10260.5260     .0114      10260.5256     7553.1   325.0794
22  28    13422.3668     .0143      13422.3536     4796.3    58.5556
23  24     2489.6245     .0056       2489.6241    31540.3   309.5526
23  25    10988.1772     .0121      10988.1757     6751.8    81.7283
23  26     7412.1702     .0089       7412.1695    12309.2    32.6255
23  27     7914.9247     .0094       7914.9232    11227.0     8.7111
23  28    19602.1507     .0202      19602.1383     2404.4    70.9048
24  25     9497.5554     .0107       9497.5542     8541.4    70.5266
24  26     8098.7453     .0095       8098.7450    10862.2    14.8575
24  27     9436.5516     .0107       9436.5506     8627.9   355.6189
24  28    18429.7942     .0191      18429.7815     2698.4    64.2803
25  26     8308.6516     .0097       8308.6503    10464.3   304.1301
25  27    11514.3204     .0126      11514.3189     6244.4   302.8317
25  28     9047.8303     .0103       9047.8181     9208.0    57.7223
26  27     3213.3600     .0059       3213.3598    27855.2   299.4729
26  28    14528.2828     .0154      14528.2714     4168.2    89.3296
27  28    17382.1614     .0181      17382.1498     3007.9   274.6562
