    1   38.982410   -8.799910     53.56
    2   39.015200   -8.850630     53.60
    3   38.978210   -8.836520     53.57
    4   39.023680   -8.790900     53.57
    5   38.978010   -9.134840     53.81
    6   38.979230   -9.076710     53.76
    7   39.113310   -9.013820     53.75
    8   39.113450   -9.131650     53.85
    9   38.978140   -9.014440     53.70
   10   39.019110   -8.897850     53.63
   11   39.024540   -8.950720     53.67
   12   38.977980   -9.198150     53.85
   13   38.980530   -8.960090     53.65
   14   39.070130   -9.121830     53.84
   15   39.112960   -8.955850     53.71
   16   39.026190   -9.078770     53.79
   17   39.070790   -9.014980     53.75
   18   39.117010   -9.077650     53.81
   19   38.978290   -8.893030     53.60
   20   39.115320   -9.195440     53.89
   21   39.113200   -8.891080     53.66
   22   39.071760   -8.893050     53.65
   23   39.026290   -9.196950     53.89
   24   39.023560   -9.020060     53.73
   25   39.069440   -8.949940     53.69
   26   39.068890   -9.067500     53.79
   27   39.026510   -9.130570     53.84
   28   39.073000   -9.187490     53.89
   29   38.970630   -9.366820     53.90
   30   39.015630   -9.306360     53.94
   31   39.064170   -9.415290     53.97
   32   38.972220   -9.313770     53.90
   33   39.057010   -9.309390     53.96
   34   39.100730   -9.318960     53.95
   35   39.058820   -9.248870     53.93
   36   39.058980   -9.362770     53.97
   37   39.019160   -9.249350     53.92
   38   39.011990   -9.363530     53.95
   39   39.104910   -9.377470     53.96
   40   38.972410   -9.260190     53.88
   41   38.970740   -9.420270     53.89
   42   39.009690   -9.423650     53.94
   43   39.104330   -9.259080     53.93
   44   38.797700   -9.228810     53.49
   45   38.920710   -9.023640     53.66
   46   38.929650   -9.144230     53.76
   47   38.841970   -9.080780     53.58
   48   38.882550   -8.881420     53.54
   49   38.925780   -9.087290     53.71
   50   38.839040   -9.212850     53.61
   51   38.883640   -9.145900     53.69
   52   38.838970   -8.880790     53.51
   53   38.837370   -9.142340     53.59
   54   38.885600   -9.205320     53.71
   55   38.792920   -8.918980     53.47
   56   38.928670   -9.205230     53.79
   57   38.798540   -9.172610     53.50
   58   38.794290   -9.092370     53.49
   59   38.929810   -8.886150     53.57
