-11.3 35.1 20.470000025895
-11.28 35.1 18.546100965019
-11.26 35.1 16.47629469752
-11.24 35.1 14.260881825478
-11.22 35.1 11.909729659987
-11.2 35.1 9.4290698989654
-11.18 35.1 6.8277964089176
-11.16 35.1 4.1160874382593
-11.14 35.1 1.3092471901394
-11.12 35.1 -1.5526729712645
-11.1 35.1 -4.3099999936977
-11.08 35.1 -5.6395544303357
-11.06 35.1 -6.853318974066
-11.04 35.1 -8.1036665834533
-11.02 35.1 -9.4228759100624
-11 35.1 -10.817532674002
-10.98 35.1 -12.285144896867
-10.96 35.1 -13.831440007115
-10.94 35.1 -15.451862831305
-10.92 35.1 -17.14514780067
-10.9 35.1 -18.910000003759
-10.88 35.1 -19.170111809032
-10.86 35.1 -19.499029631495
-10.84 35.1 -19.887603864431
-10.82 35.1 -20.346403846017
-10.8 35.1 -20.867246045933
-10.78 35.1 -21.446658650331
-10.76 35.1 -22.07970241324
-10.74 35.1 -22.756838074262
-10.72 35.1 -23.449456454019
-10.7 35.1 -24.040000018814
-10.68 35.1 -23.603718231879
-10.66 35.1 -23.054765941438
-10.64 35.1 -22.508852337841
-10.62 35.1 -21.990600474522
-10.6 35.1 -21.505024685053
-10.58 35.1 -21.062308102005
-10.56 35.1 -20.640124155583
-10.54 35.1 -20.24696172432
-10.52 35.1 -19.880888854795
-10.5 35.1 -19.539999979115
-10.48 35.1 -19.52136203632
-10.46 35.1 -19.521204822766
-10.44 35.1 -19.525129662344
-10.42 35.1 -19.554658874317
-10.4 35.1 -19.598247841606
-10.38 35.1 -19.631269380793
-10.36 35.1 -19.699727099106
-10.34 35.1 -19.778035897015
-10.32 35.1 -19.864909277138
-10.3 35.1 -19.959999999042
-10.28 35.1 -19.505992887185
-10.26 35.1 -19.059616475082
-10.24 35.1 -18.624362706513
-10.22 35.1 -18.204792984482
-10.2 35.1 -17.806250372245
-10.18 35.1 -17.422151458888
-10.16 35.1 -17.085092716609
-10.14 35.1 -16.78912279125
-10.12 35.1 -16.543727336135
-10.1 35.1 -16.369999998838
-10.08 35.1 -16.292770035804
-10.06 35.1 -16.298069100439
-10.04 35.1 -16.375908592188
-10.02 35.1 -16.536377864296
-10 35.1 -16.783197794621
-9.98 35.1 -17.115772098086
-9.96 35.1 -17.55744957916
-9.94 35.1 -18.10732837217
-9.92 35.1 -18.772518493833
-9.9 35.1 -19.55999998723
-9.88 35.1 -18.678300772062
-9.86 35.1 -17.931748097183
-9.84 35.1 -17.326978853991
-9.82 35.1 -16.87059585743
-9.8 35.1 -16.569060125602
-9.78 35.1 -16.430008638143
-9.76 35.1 -16.45387651729
-9.74 35.1 -16.641230456165
-9.72 35.1 -16.970522409535
-9.7 35.1 -17.32999998396
-9.68 35.1 -16.636516505043
-9.66 35.1 -15.974149885891
-9.64 35.1 -15.459425652797
-9.62 35.1 -15.098035503032
-9.6 35.1 -14.8957070333
-9.58 35.1 -14.849854420467
-9.56 35.1 -14.945373065633
-9.54 35.1 -15.17163924779
-9.52 35.1 -15.495000116156
-9.5 35.1 -15.790000029476
-9.48 35.1 -16.08791937526
-9.46 35.1 -16.347918797414
-9.44 35.1 -16.685479263452
-9.42 35.1 -17.104858600293
-9.4 35.1 -17.610766564072
-9.38 35.1 -18.197821638154
-9.36 35.1 -18.859647336286
-9.34 35.1 -19.589805118721
-9.32 35.1 -20.381996725553
-9.3 35.1 -21.229999999736
-9.28 35.1 -21.28689466597
-9.26 35.1 -21.388571237835
-9.24 35.1 -21.533126668642
-9.22 35.1 -21.706330252517
-9.2 35.1 -21.906378118012
-9.18 35.1 -22.130271213693
-9.16 35.1 -22.38034448646
-9.14 35.1 -22.67470924543
-9.12 35.1 -23.094340265844
-9.1 35.1 -24.01000000954
-9.08 35.1 -23.293041373878
-9.06 35.1 -23.075107665552
-9.04 35.1 -22.975053189269
-9.02 35.1 -22.905058264779
-9 35.1 -22.84090470904
-8.98 35.1 -22.77202744741
-8.96 35.1 -22.700329068709
-8.94 35.1 -22.622681753579
-8.92 35.1 -22.539152531849
-8.9 35.1 -22.450000002478
-8.88 35.1 -21.889539397179
-8.86 35.1 -21.327813126328
-8.84 35.1 -20.759596897441
-8.82 35.1 -20.191688972058
-8.8 35.1 -19.618276602538
-8.78 35.1 -19.034685430309
-8.76 35.1 -18.430527681264
-8.74 35.1 -17.777792805824
-8.72 35.1 -16.977166729761
-8.7 35.1 -15.599999998362
-8.68 35.1 -15.804504498141
-8.66 35.1 -15.427268203116
-8.64 35.1 -14.88476677536
-8.62 35.1 -14.26550838838
-8.6 35.1 -13.586862088744
-8.58 35.1 -12.84006285478
-8.56 35.1 -12.038123868273
-8.54 35.1 -11.165709855967
-8.52 35.1 -10.217411894389
-8.5 35.1 -9.1899999913031
-8.48 35.1 -7.8671331406523
-8.46 35.1 -6.4692372862889
-8.44 35.1 -5.0156092373114
-8.42 35.1 -3.489740543303
-8.4 35.1 -1.9117194387876
-8.38 35.1 -0.28111582791009
-8.36 35.1 1.3682965377735
-8.34 35.1 3.039103198329
-8.32 35.1 4.7243768002365
-8.3 35.1 6.4200000135379
-8.28 35.1 7.2532781224287
-8.26 35.1 8.0956300067553
-8.24 35.1 8.9474025174117
-8.22 35.1 9.8275270625314
-8.2 35.1 10.741938303183
-8.18 35.1 11.691767810426
-8.16 35.1 12.70158469295
-8.14 35.1 13.753890670412
-8.12 35.1 14.781689741833
-8.1 35.1 15.450000003734
-8.08 35.1 15.176883060412
-8.06 35.1 14.543701105756
-8.04 35.1 13.898645709775
-8.02 35.1 13.319370084378
