         1    38.98241    -8.79991     54.30       .74
         2    39.01520    -8.85063     54.32       .72
         3    38.97821    -8.83652     54.28       .71
         4    39.02368    -8.79090     54.34       .77
         5    38.97801    -9.13484     54.31       .50
         6    38.97923    -9.07671     54.29       .53
         7    39.11331    -9.01382     54.55       .80
         8    39.11345    -9.13165     54.46       .61
         9    38.97814    -9.01444     54.31       .61
        10    39.01911    -8.89785     54.34       .71
        11    39.02454    -8.95072     54.36       .69
        12    38.97798    -9.19815     54.26       .41
        13    38.98053    -8.96009     54.28       .63
        14    39.07013    -9.12183     54.41       .57
        15    39.11296    -8.95585     54.55       .84
        16    39.02619    -9.07877     54.39       .60
        17    39.07079    -9.01498     54.47       .72
        18    39.11701    -9.07765     54.49       .68
        19    38.97829    -8.89303     54.27       .67
        20    39.11532    -9.19544     54.38       .49
        21    39.11320    -8.89108     54.55       .89
        22    39.07176    -8.89305     54.45       .80
        23    39.02629    -9.19695     54.32       .43
        24    39.02356    -9.02006     54.36       .63
        25    39.06944    -8.94994     54.46       .77
        26    39.06889    -9.06750     54.44       .65
        27    39.02651    -9.13057     54.37       .53
        28    39.07300    -9.18749     54.35       .46
        29    38.97063    -9.36682     54.20       .30
        30    39.01563    -9.30636     54.24       .30
        31    39.06417    -9.41529     54.22       .25
        32    38.97222    -9.31377     54.20       .30
        33    39.05701    -9.30939     54.26       .30
        34    39.10073    -9.31896     54.27       .32
        35    39.05882    -9.24887     54.29       .36
        36    39.05898    -9.36277     54.23       .26
        37    39.01916    -9.24935     54.27       .35
        38    39.01199    -9.36353     54.22       .27
        39    39.10491    -9.37747     54.23       .27
        40    38.97241    -9.26019     54.22       .34
        41    38.97074    -9.42027     54.16       .27
        42    39.00969    -9.42365     54.19       .25
        43    39.10433    -9.25908     54.31       .38
        44    38.79770    -9.22881     53.96       .47
        45    38.92071    -9.02364     54.19       .53
        46    38.92965    -9.14423     54.21       .45
        47    38.84197    -9.08078     54.00       .42
        48    38.88255    -8.88142     54.19       .65
        49    38.92578    -9.08729     54.22       .51
        50    38.83904    -9.21285     54.00       .39
        51    38.88364    -9.14590     54.12       .43
        52    38.83897    -8.88079     54.16       .65
        53    38.83737    -9.14234     53.99       .40
        54    38.88560    -9.20532     54.10       .39
        55    38.79292    -8.91898     54.07       .60
        56    38.92867    -9.20523     54.18       .39
        57    38.79854    -9.17261     53.92       .42
        58    38.79429    -9.09237     53.90       .41
        59    38.92981    -8.88615     54.23       .66
        60    38.88747    -9.07539     54.13       .48
        61    38.61501    -9.21010     53.62       .76
        62    38.61826    -8.96413     53.92       .73
        63    38.71048    -8.91546     54.02       .64
        64    38.66018    -9.02716     53.79       .57
        65    38.65756    -9.09210     53.73       .57
        66    38.65973    -8.91132     54.01       .70
        67    38.66052    -8.96954     53.89       .62
        68    38.75315    -8.91869     54.04       .61
        69    38.65826    -9.19943     53.70       .66
        70    38.61466    -8.90754     54.05       .80
        71    38.74931    -9.17962     53.86       .50
        72    38.75475    -9.09436     53.84       .44
        73    38.65437    -9.14323     53.69       .60
        74    38.71370    -9.13316     53.80       .52
        75    38.70469    -8.97981     53.90       .56
        76    38.71015    -9.18749     53.79       .56
        77    38.74483    -8.98268     53.92       .52
        78    38.61131    -9.14305     53.67       .71
        79    38.61430    -9.02577     53.81       .69
        80    38.61636    -9.08499     53.72       .67
        81    38.73710    -9.41011     53.75       .69
        82    38.74708    -9.23817     53.87       .55
        83    38.77964    -9.27042     53.91       .50
        84    38.69009    -9.42612     53.62       .84
        85    38.70876    -9.48528     53.55       .81
        86    38.78150    -9.49652     53.72       .59
        87    38.82553    -9.32359     53.99       .45
        88    38.78599    -9.38199     53.92       .59
        89    38.82386    -9.26557     54.01       .45
        90    38.73978    -9.47299     53.65       .70
        91    38.74060    -9.35572     53.80       .64
        92    38.77433    -9.44149     53.85       .66
        93    38.69833    -9.36744     53.71       .76
        94    38.77589    -9.32900     53.90       .55
        95    38.70419    -9.24541     53.78       .63
        96    38.65908    -9.25100     53.67       .70
        97    38.67608    -9.32665     53.68       .77
        98    38.74515    -9.29791     53.85       .59
        99    38.70441    -9.31156     53.75       .68
       100    38.82676    -9.39590     53.97       .48
       101    38.91978    -9.42464     54.08       .30
       102    38.91350    -9.25932     54.17       .38
       103    38.87189    -9.39178     54.04       .39
       104    38.91454    -9.31668     54.15       .35
       105    38.87120    -9.32705     54.06       .38
       106    38.86678    -9.45042     53.97       .38
       107    38.87501    -9.26303     54.09       .39
       108    38.91538    -9.38139     54.12       .33
       109    38.82147    -9.47236     53.84       .47
       110    38.72237    -8.53556     54.90      1.17
       111    38.61386    -8.83899     54.25       .93
       112    38.71194    -8.65298     54.63      1.06
       113    38.75809    -8.69643     54.50       .97
       114    38.75485    -8.59575     54.71      1.08
       115    38.66919    -8.77938     54.36       .93
       116    38.61854    -8.65581     54.74      1.17
       117    38.71272    -8.77506     54.36       .90
       118    38.62032    -8.72277     54.57      1.10
       119    38.74893    -8.83020     54.22       .77
       120    38.67480    -8.53397     54.95      1.20
       121    38.75828    -8.52888     54.89      1.17
       122    38.67005    -8.59467     54.83      1.17
       123    38.62351    -8.60440     54.86      1.21
       124    38.62249    -8.53851     55.00      1.24
       125    38.66437    -8.71011     54.55      1.05
       126    38.61986    -8.77602     54.43      1.03
       127    38.70764    -8.58921     54.80      1.14
       128    38.75488    -8.64551     54.61      1.03
       129    38.70938    -8.83178     54.21       .79
       130    38.66404    -8.83396     54.21       .83
       131    38.66450    -8.64208     54.71      1.12
       132    38.72002    -8.71532     54.50       .99
