-11.3 35.1 20.47
-11.28 35.1 30.361790001686
-11.26 35.1 33.506697236786
-11.24 35.1 32.536961228081
-11.22 35.1 28.979712409298
-11.2 35.1 23.799628679454
-11.18 35.1 17.701984989366
-11.16 35.1 11.225656126244
-11.14 35.1 4.8877500447341
-11.12 35.1 -0.6544696675222
-11.1 35.1 -4.31
-11.08 35.1 -10.654909304147
-11.06 35.1 -14.940848744532
-11.04 35.1 -18.08676078311
-11.02 35.1 -20.524064605993
-11 35.1 -22.457446553514
-10.98 35.1 -23.928458693722
-10.96 35.1 -24.78307911035
-10.94 35.1 -24.70858404791
-10.92 35.1 -23.120248495609
-10.9 35.1 -18.91
-10.88 35.1 -25.78591530452
-10.86 35.1 -29.98196370401
-10.84 35.1 -32.540838205447
-10.82 35.1 -33.986427023313
-10.8 35.1 -34.584087766071
-10.78 35.1 -34.497053537605
-10.76 35.1 -33.79932216772
-10.74 35.1 -32.448389144888
-10.72 35.1 -30.004014463672
-10.7 35.1 -24.04
-10.68 35.1 -30.18027892971
-10.66 35.1 -32.818193094133
-10.64 35.1 -34.360543399335
-10.62 35.1 -35.208853355684
-10.6 35.1 -35.363988528773
-10.58 35.1 -34.702604481266
-10.56 35.1 -33.070445294129
-10.54 35.1 -30.297758671476
-10.52 35.1 -26.028285308176
-10.5 35.1 -19.54
-10.48 35.1 -24.871099560555
-10.46 35.1 -28.134912602556
-10.44 35.1 -30.18057578282
-10.42 35.1 -31.414687902217
-10.4 35.1 -32.018968192485
-10.38 35.1 -32.005905739175
-10.36 35.1 -31.236997359761
-10.34 35.1 -29.414738347944
-10.32 35.1 -25.997581210747
-10.3 35.1 -19.96
-10.28 35.1 -25.50216920017
-10.26 35.1 -28.395963295256
-10.24 35.1 -29.645246951223
-10.22 35.1 -29.768391983901
-10.2 35.1 -29.052973906739
-10.18 35.1 -27.722376813167
-10.16 35.1 -25.941748254454
-10.14 35.1 -23.81825324593
-10.12 35.1 -21.194655160972
-10.1 35.1 -16.37
-10.08 35.1 -20.922155786948
